Month,MWH,CUS,AHEC,t,D1,D2
10-Jan,"221,870","329,075",674.2,1,1,0
10-Feb,"175,726","329,754",532.9,2,0,0
10-Mar,"158,684","330,374",480.3,3,0,0
10-Apr,"179,014","330,751",541.2,4,0,0
10-May,"158,494","331,128",478.6,5,0,0
10-Jun,"245,588","331,050",741.8,6,0,1
10-Jul,"285,503","332,673",858.2,7,0,1
10-Aug,"283,385","332,918",851.2,8,0,1
10-Sep,"250,406","333,162",751.6,9,0,0
10-Oct,"211,725","333,284",635.3,10,0,0
10-Nov,"156,017","333,518",467.8,11,0,0
10-Dec,"182,422","334,508",545.3,12,1,0
11-Jan,"213,135","335,497",635.3,13,1,0
11-Feb,"194,887","335,813",580.3,14,0,0
11-Mar,"133,260","336,405",396.1,15,0,0
11-Apr,"154,670","336,637",459.5,16,0,0
11-May,"171,713","336,869",509.7,17,0,0
11-Jun,"310,874","336,918",922.7,18,0,1
11-Jul,"318,138","337,519",942.6,19,0,1
11-Aug,"304,805","338,063",901.6,20,0,1
11-Sep,"276,765","338,606",817.4,21,0,0
11-Oct,"207,074","338,987",610.9,22,0,0
11-Nov,"159,807","339,361",470.9,23,0,0
11-Dec,"188,262","340,009",553.7,24,1,0
12-Jan,"227,781","340,656",668.7,25,1,0
12-Feb,"159,576","341,266",467.6,26,0,0
12-Mar,"168,212","341,912",492,27,0,0
12-Apr,"169,883","342,461",496.1,28,0,0
12-May,"217,582","342,850",634.6,29,0,0
12-Jun,"285,227","343,216",831,30,0,1
12-Jul,"320,056","343,877",930.7,31,0,1
12-Aug,"313,702","344,271",911.2,32,0,1
12-Sep,"251,051","344,418",728.9,33,0,0
12-Oct,"177,654","345,105",514.8,34,0,0
12-Nov,"163,067","345,305",472.2,35,0,0
12-Dec,"194,556","345,567",563,36,1,0
13-Jan,"247,126","345,667",714.9,37,1,0
13-Feb,"184,078","346,239",531.7,38,0,0
13-Mar,"167,302","346,554",482.8,39,0,0
13-Apr,"144,089","346,943",415.3,40,0,0
13-May,"206,792","347,271",595.5,41,0,0
13-Jun,"308,944","347,866",888.1,42,0,1
13-Jul,"316,351","347,982",909.1,43,0,1
13-Aug,"308,119","348,610",883.9,44,0,1
13-Sep,"255,635","349,077",732.3,45,0,0
13-Oct,"168,472","349,352",482.2,46,0,0
13-Nov,"166,379","349,497",476.1,47,0,0
13-Dec,"205,975","349,629",589.1,48,1,0
14-Jan,"230,231","349,921",658,49,1,0
14-Feb,"164,773","350,111",470.6,50,0,0
14-Mar,"148,026","350,967",421.8,51,0,0
14-Apr,"148,877","351,667",423.3,52,0,0
14-May,"202,760","352,097",575.9,53,0,0
14-Jun,"298,366","352,340",846.8,54,0,1
14-Jul,"356,241","352,727",1010,55,0,1
14-Aug,"300,386","352,858",851.3,56,0,1
14-Sep,"237,898","353,640",672.7,57,0,0
14-Oct,"193,688","353,434",548,58,0,0
14-Nov,"151,736","353,649",429.1,59,0,0
14-Dec,"207,533","353,885",586.4,60,1,0
15-Jan,"236,812","354,068",668.8,61,1,0
15-Feb,"159,097","354,644",448.6,62,0,0
15-Mar,"165,744","355,563",466.1,63,0,0
15-Apr,"150,227","355,971",422,64,0,0
15-May,"194,866","356,579",546.5,65,0,0
15-Jun,"295,847","356,932",828.9,66,0,1
15-Jul,"366,289","357,572",1024.4,67,0,1
15-Aug,"342,595","357,750",957.6,68,0,1
15-Sep,"292,113","358,421",815,69,0,0
15-Oct,"208,374","358,514",581.2,70,0,0
15-Nov,"138,642","358,803",386.4,71,0,0
15-Dec,"220,531","358,819",614.6,72,1,0
