v,cpm,sig
420,1,1
430,3,1.732050808
440,3,1.732050808
450,5,2.236067977
460,9,3
462,31,5.567764363
463,41,6.403124237
464,80,8.94427191
465,82,9.055385138
466,74,8.602325267
470,94,9.695359715
480,92,9.591663047
490,115,10.72380529
500,99,9.949874371
510,120,10.95445115
520,104,10.19803903
530,126,11.22497216
540,115,10.72380529
550,124,11.13552873
560,140,11.83215957
570,123,11.09053651
580,108,10.39230485
590,125,11.18033989
600,123,11.09053651
610,130,11.40175425
620,121,11
630,118,10.86278049
640,145,12.04159458
650,142,11.91637529
660,125,11.18033989
670,155,12.4498996
680,117,10.81665383
690,148,12.16552506
700,138,11.74734012
710,114,10.67707825
720,134,11.5758369
730,141,11.87434209
740,145,12.04159458
750,158,12.56980509
760,143,11.95826074
770,142,11.91637529
780,160,12.64911064
790,174,13.19090596
800,168,12.9614814
810,151,12.28820573
820,177,13.3041347
830,159,12.60952021
